episode,cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward,new_cart_position,new_cart_velocity,new_pole_angle,new_pole_angular_velocity,q_values
30,0.027433189,-0.008702151,0.029245367,-0.030064061,0,1.0,0.027259145,-0.20423102,0.028644085,0.27170074,"[16.793734, 16.659098]"
30,0.027259145,-0.20423102,0.028644085,0.27170074,1,1.0,0.023174524,-0.00952927,0.0340781,-0.011811873,"[16.79288, 16.829386]"
30,0.023174524,-0.00952927,0.0340781,-0.011811873,0,1.0,0.02298394,-0.20512295,0.033841863,0.29142532,"[16.741083, 16.620188]"
30,0.02298394,-0.20512295,0.033841863,0.29142532,1,1.0,0.018881481,-0.010499475,0.03967037,0.009604877,"[16.716469, 16.786707]"
30,0.018881481,-0.010499475,0.03967037,0.009604877,0,1.0,0.01867149,-0.20616724,0.039862465,0.31453565,"[16.675514, 16.57038]"
30,0.01867149,-0.20616724,0.039862465,0.31453565,0,1.0,0.014548146,-0.40183368,0.04615318,0.61951864,"[16.600126, 16.726095]"
30,0.014548146,-0.40183368,0.04615318,0.61951864,1,1.0,0.0065114726,-0.2073857,0.05854355,0.34172145,"[16.069994, 16.940552]"
30,0.0065114726,-0.2073857,0.05854355,0.34172145,1,1.0,0.0023637584,-0.01314343,0.06537798,0.06805917,"[16.325535, 16.567833]"
30,0.0023637584,-0.01314343,0.06537798,0.06805917,0,1.0,0.0021008898,-0.20913883,0.066739164,0.38063163,"[16.48101, 16.43015]"
30,0.0021008898,-0.20913883,0.066739164,0.38063163,1,1.0,-0.0020818866,-0.015024913,0.074351795,0.109715715,"[16.069983, 16.482409]"
30,-0.0020818866,-0.015024913,0.074351795,0.109715715,1,1.0,-0.002382385,0.1789572,0.07654611,-0.15861425,"[16.349798, 16.37381]"
30,-0.002382385,0.1789572,0.07654611,-0.15861425,1,1.0,0.001196759,0.37290454,0.073373824,-0.4262008,"[16.091463, 16.331802]"
30,0.001196759,0.37290454,0.073373824,-0.4262008,1,1.0,0.00865485,0.5669147,0.06484981,-0.6948804,"[16.107807, 16.299448]"
30,0.00865485,0.5669147,0.06484981,-0.6948804,1,1.0,0.019993143,0.7610801,0.0509522,-0.9664638,"[16.10528, 16.148876]"
30,0.019993143,0.7610801,0.0509522,-0.9664638,0,1.0,0.035214745,0.5653122,0.031622924,-0.65821964,"[16.02624, 15.724561]"
30,0.035214745,0.5653122,0.031622924,-0.65821964,0,1.0,0.04652099,0.36976472,0.018458532,-0.35574946,"[16.14078, 16.1332]"
30,0.04652099,0.36976472,0.018458532,-0.35574946,1,1.0,0.053916283,0.5646194,0.0113435425,-0.64255524,"[16.20573, 16.276678]"
30,0.053916283,0.5646194,0.0113435425,-0.64255524,0,1.0,0.06520867,0.3693412,-0.0015075624,-0.34632185,"[16.129942, 16.071545]"
30,0.06520867,0.3693412,-0.0015075624,-0.34632185,0,1.0,0.07259549,0.17424074,-0.0084339995,-0.054114684,"[16.279469, 16.237852]"
30,0.07259549,0.17424074,-0.0084339995,-0.054114684,0,1.0,0.07608031,-0.020759279,-0.009516293,0.23589537,"[16.514393, 16.241417]"
30,0.07608031,-0.020759279,-0.009516293,0.23589537,0,1.0,0.075665124,-0.21574399,-0.004798386,0.52556145,"[16.53356, 16.34728]"
